Table,Value
TOBACO2,Number of tobacco products per day
TOBACO2_TXT,Open text 
ALCOH,Does patient drink alcohol?
ALCOH2,Number of units (per week)
ALCOH2_TXT,open text 
LENGTE,Length (cm)
GEWICHT,weight (kg)
BLDPRYN,Bloodpressure measured?
VSNSBP,Systolische bloodpressure (mmHg)
VSNDBP,Diastolic blood pressure (mmHg)
CARDIOVASCYN,Cardiovasculair Disorders?
HYPERT,Hypertension
ANGP,Angina pectoris
MYOC,Myocard infarct
DOTT,Dotter/stent
CORB,Coronaire bypass operation?
CAROT,Carotis stenose
CAVDO,Other
CAVD7,Cardiovasculaire diagnose
CEREDIAGYN,Cerebrovasculair disorders?
TIA,TIA
CEREBI,Infarct
CEREBB,Bleedin
RIND,RIND
CEVDO,Other
CEVD3,Cerebrovasculaire diagnose
ENDODIAGYN,Endocrine disorders?
DIABML,Diabetes mellitus
HYPOTF,Hypothyreoidie
HYPETF,Hyperthyreoidie
ENDDO,Other
ENDD4,Endocriene diagnose
PSYCHDIAGYN,Psychiatric disorders?
DEPDS,Depression
PSYCHOS,Psychosis
DELIR,Delirium
PSYDO,Other
PSYD4,Psychiatrische diagnose
SOMYN,Somatic disorders
COPD,COPD
KIDNEY,Kidneydisorders
LIVER,Liver disorders
SOMDO,other
SOMD4,Somatische diagnose
MEDYN,Medication use
CSFQ,Has CSF been drawn? 
CSFN,Reason no CSF
CSFday,Day of CSF assessment
CSFmon,Month of CSF assessment
CSFyr,Year of CSF assessment
CSF_Klin_Lab,
CSF_Klin_Methode,
MRI,Is there and MRI? 
MRIDTSday,Day of MRI
MRIDTSmon,Month of MRI
MRIDTSyr,Year of MRI
QCOMPLETED,Questionnaire administered? (GDS)
GDSSCORE,Totaal score Geriatric Depression Scale
QCOMPLETED15,Questionnaire administered? (HDRS)
HDRSTOT,HDRS totoaalscore
QCOMPLETED1,Questionnaire administered (CDR)?
CDR01,Memory
CDR02,Orientation
CDR03,Judgement and problem solving
CDR04,Home and Hobbies
CDR05,Personal Care
CDR06,Community affairs
CDRTOT,CDR totaal score
QCOMPLETED3,MMSE Questionnaire administered?
MMSETOT,MMSE totalscore (0-30)
MMSEMAX,MMSEMAX (maximaal aantal punten haalbaar)
CSF_Klin_Total_TAU,CSF t-tau
CSF_Klin_AmyloidBeta42_1,CSF amyloid
CSF_Klin_Phospor_TAU,CSF p-tau
edu_years,education in years
DIAG,diagnose
ad,if DIAG=3 then this variable show whether it is Alzheimer disease (ad)
VaD,if DIAG=3 then this variable shows whether it is vasculair dementia
otherdem,if DIAG=3 then this variable shows the type of other dementia
MTA_L,Medial temporal lobe atrophy links
MTA_R,Medial temporal lobe atrophy rechts
mtalr,medial temporal lobe atrophy bilateral
lacinf,lacunaire infarcten
GCA,global cortical atrophy
APOE_genotype,APOE 
